day,month_year,category,class_name,location,time_of_day,duration,month,year
7,"November, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2018
5,"November, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,November,2018
5,"November, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2018
3,"November, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2018
2,"November, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,November,2018
31,"October, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,October,2018
31,"October, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
29,"October, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,October,2018
29,"October, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
27,"October, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
26,"October, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,October,2018
23,"October, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,October,2018
22,"October, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,October,2018
22,"October, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
20,"October, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
19,"October, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,October,2018
15,"October, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,October,2018
15,"October, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
13,"October, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
12,"October, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,October,2018
10,"October, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
8,"October, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,October,2018
8,"October, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
6,"October, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
3,"October, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,October,2018
3,"October, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
1,"October, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,October,2018
1,"October, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2018
29,"September, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,September,2018
28,"September, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,September,2018
24,"September, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,September,2018
24,"September, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,September,2018
22,"September, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,September,2018
19,"September, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,September,2018
17,"September, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,September,2018
17,"September, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,September,2018
15,"September, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,September,2018
14,"September, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,September,2018
12,"September, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,September,2018
12,"September, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,September,2018
10,"September, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,September,2018
10,"September, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,September,2018
8,"September, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,September,2018
5,"September, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,September,2018
4,"September, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,September,2018
29,"August, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled Coach,Unknown,0 days 01:00:00,August,2018
29,"August, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
27,"August, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
25,"August, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
22,"August, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
20,"August, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
18,"August, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
13,"August, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
11,"August, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
8,"August, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
6,"August, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
4,"August, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
3,"August, 2018",Other,Ollin Boot Camp,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,August,2018
1,"August, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,August,2018
1,"August, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,August,2018
30,"July, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,July,2018
18,"July, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,July,2018
7,"July, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,July,2018
2,"July, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,July,2018
30,"June, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
29,"June, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,June,2018
25,"June, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
25,"June, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
23,"June, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
22,"June, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,June,2018
20,"June, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,June,2018
20,"June, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
19,"June, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,June,2018
18,"June, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
16,"June, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
13,"June, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,June,2018
13,"June, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
11,"June, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
9,"June, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
8,"June, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,June,2018
6,"June, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,June,2018
6,"June, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
4,"June, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,June,2018
4,"June, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
2,"June, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,June,2018
1,"June, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,June,2018
31,"May, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,May,2018
26,"May, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,May,2018
18,"May, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,May,2018
16,"May, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,May,2018
14,"May, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,May,2018
14,"May, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,May,2018
12,"May, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,May,2018
9,"May, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,May,2018
9,"May, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,May,2018
7,"May, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,May,2018
7,"May, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,May,2018
5,"May, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,May,2018
3,"May, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,May,2018
30,"April, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,April,2018
30,"April, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
28,"April, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
25,"April, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,April,2018
25,"April, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
23,"April, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
21,"April, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
18,"April, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
16,"April, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
14,"April, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
11,"April, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
9,"April, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
7,"April, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
6,"April, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,April,2018
4,"April, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,April,2018
4,"April, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
2,"April, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,April,2018
2,"April, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,April,2018
31,"March, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,March,2018
26,"March, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,March,2018
19,"March, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,March,2018
19,"March, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,March,2018
17,"March, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,March,2018
16,"March, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,March,2018
10,"March, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,March,2018
9,"March, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,March,2018
7,"March, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,March,2018
5,"March, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,March,2018
5,"March, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,March,2018
3,"March, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,March,2018
2,"March, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,March,2018
28,"February, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,February,2018
28,"February, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
26,"February, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,February,2018
26,"February, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
24,"February, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
21,"February, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
19,"February, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,February,2018
19,"February, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
17,"February, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
14,"February, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
12,"February, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
10,"February, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
9,"February, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,February,2018
7,"February, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,February,2018
7,"February, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
5,"February, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
3,"February, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,February,2018
2,"February, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,February,2018
31,"January, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,January,2018
31,"January, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,January,2018
30,"January, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,January,2018
12,"January, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,January,2018
10,"January, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,January,2018
10,"January, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,January,2018
8,"January, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,January,2018
6,"January, 2018",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,January,2018
5,"January, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,January,2018
3,"January, 2018",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,January,2018
1,"January, 2018",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,January,2018
29,"December, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,December,2017
28,"December, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,December,2017
27,"December, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,December,2017
22,"December, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,December,2017
20,"December, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,December,2017
20,"December, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2017
18,"December, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,December,2017
18,"December, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2017
16,"December, 2017",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2017
13,"December, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,December,2017
13,"December, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2017
11,"December, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,December,2017
11,"December, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2017
9,"December, 2017",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2017
8,"December, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,December,2017
6,"December, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,December,2017
6,"December, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2017
4,"December, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2017
2,"December, 2017",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2017
1,"December, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,December,2017
29,"November, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,November,2017
29,"November, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2017
27,"November, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,November,2017
27,"November, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2017
17,"November, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,November,2017
15,"November, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,November,2017
15,"November, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2017
13,"November, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,November,2017
13,"November, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2017
11,"November, 2017",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2017
10,"November, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,November,2017
8,"November, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,November,2017
8,"November, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2017
6,"November, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,November,2017
3,"November, 2017",Gym classes,BLUE ADULT,Cypress Pro Medical Group w/ Scheduled  Coach,Unknown,0 days 01:00:00,November,2017
1,"November, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2017
30,"October, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2017
28,"October, 2017",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2017
25,"October, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2017
23,"October, 2017",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2017
21,"October, 2017",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,October,2017
